Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-20,42.42499923706055,42.42499923706055,42.42499923706055,42.42499923706055,0,0.0,0
2019-02-20,42.525001525878906,42.525001525878906,42.345001220703125,42.345001220703125,330,0.0,0
2019-02-20,42.1150016784668,42.1150016784668,41.915000915527344,41.915000915527344,380,0.0,0
2019-02-20,41.974998474121094,41.974998474121094,41.935001373291016,41.935001373291016,214,0.0,0
2019-02-20,41.90999984741211,41.970001220703125,41.900001525878906,41.970001220703125,1633,0.0,0
2019-02-20,42.064998626708984,42.08000183105469,42.064998626708984,42.08000183105469,390,0.0,0
2019-02-20,42.084999084472656,42.084999084472656,41.974998474121094,42.005001068115234,510,0.0,0
2019-02-20,42.17499923706055,42.33000183105469,42.17499923706055,42.33000183105469,1095,0.0,0
2019-02-21,42.57500076293945,42.57500076293945,42.57500076293945,42.57500076293945,0,0.0,0
2019-02-21,42.20500183105469,42.20500183105469,42.060001373291016,42.060001373291016,150,0.0,0
2019-02-21,42.025001525878906,42.025001525878906,42.025001525878906,42.025001525878906,250,0.0,0
2019-02-21,41.68000030517578,41.775001525878906,41.68000030517578,41.775001525878906,645,0.0,0
2019-02-21,41.790000915527344,41.790000915527344,41.790000915527344,41.790000915527344,180,0.0,0
2019-02-21,41.8849983215332,41.8849983215332,41.72999954223633,41.72999954223633,1597,0.0,0
2019-02-21,41.76499938964844,41.76499938964844,41.48500061035156,41.56999969482422,715,0.0,0
2019-02-21,41.529998779296875,41.529998779296875,41.529998779296875,41.529998779296875,205,0.0,0
2019-02-22,41.34000015258789,41.34000015258789,41.34000015258789,41.34000015258789,60,0.0,0
2019-02-22,41.80500030517578,42.04999923706055,41.80500030517578,42.04999923706055,0,0.0,0
2019-02-22,41.98500061035156,41.98500061035156,41.98500061035156,41.98500061035156,53,0.0,0
2019-02-22,41.96500015258789,42.01499938964844,41.96500015258789,41.9900016784668,395,0.0,0
2019-02-22,42.025001525878906,42.09000015258789,42.025001525878906,42.060001373291016,1264,0.0,0
2019-02-22,42.275001525878906,42.275001525878906,41.95000076293945,41.95000076293945,860,0.0,0
2019-02-22,42.025001525878906,42.13999938964844,42.025001525878906,42.084999084472656,483,0.0,0
2019-02-25,42.0,42.0,42.0,42.0,20,0.0,0
2019-02-25,42.4900016784668,42.4900016784668,42.4900016784668,42.4900016784668,0,0.0,0
2019-02-25,42.82500076293945,42.95500183105469,42.82500076293945,42.94499969482422,429,0.0,0
2019-02-25,42.89500045776367,42.89500045776367,42.78499984741211,42.86000061035156,3215,0.0,0
2019-02-25,42.724998474121094,42.724998474121094,42.724998474121094,42.724998474121094,50,0.0,0
2019-02-25,42.875,42.875,42.875,42.875,740,0.0,0
2019-02-25,42.92499923706055,42.95000076293945,42.915000915527344,42.95000076293945,414,0.0,0
2019-02-25,42.810001373291016,42.810001373291016,42.810001373291016,42.810001373291016,152,0.0,0
2019-02-25,42.78499984741211,42.78499984741211,42.78499984741211,42.78499984741211,142,0.0,0
2019-02-25,42.900001525878906,42.900001525878906,42.900001525878906,42.900001525878906,29,0.0,0
2019-02-26,42.63999938964844,42.63999938964844,42.63999938964844,42.63999938964844,0,0.0,0
2019-02-26,42.560001373291016,42.560001373291016,42.560001373291016,42.560001373291016,0,0.0,0
2019-02-26,42.939998626708984,42.939998626708984,42.66999816894531,42.66999816894531,135,0.0,0
2019-02-26,42.755001068115234,42.755001068115234,42.755001068115234,42.755001068115234,300,0.0,0
2019-02-26,42.70500183105469,42.70500183105469,42.70500183105469,42.70500183105469,90,0.0,0
2019-02-26,42.86000061035156,42.939998626708984,42.86000061035156,42.939998626708984,680,0.0,0
2019-02-26,42.90999984741211,42.939998626708984,42.90999984741211,42.91999816894531,1330,0.0,0
2019-02-26,42.96500015258789,42.994998931884766,42.96500015258789,42.994998931884766,1200,0.0,0
2019-02-26,43.19499969482422,43.19499969482422,43.099998474121094,43.099998474121094,1900,0.0,0
2019-02-26,43.150001525878906,43.16999816894531,43.03499984741211,43.03499984741211,385,0.0,0
2019-02-27,43.224998474121094,43.224998474121094,43.224998474121094,43.224998474121094,0,0.0,0
2019-02-27,43.25,43.25,43.11000061035156,43.11000061035156,580,0.0,0
2019-02-27,43.21500015258789,43.23500061035156,43.21500015258789,43.23500061035156,175,0.0,0
2019-02-27,43.505001068115234,43.7400016784668,43.505001068115234,43.7400016784668,1431,0.0,0
2019-02-27,44.099998474121094,44.130001068115234,44.099998474121094,44.130001068115234,530,0.0,0
2019-02-27,43.9900016784668,44.16999816894531,43.9900016784668,44.16999816894531,1360,0.0,0
2019-02-27,44.349998474121094,44.349998474121094,44.349998474121094,44.349998474121094,150,0.0,0
2019-02-28,44.13999938964844,44.13999938964844,44.13999938964844,44.13999938964844,0,0.0,0
2019-02-28,44.150001525878906,44.19499969482422,44.150001525878906,44.19499969482422,0,0.0,0
2019-02-28,44.51499938964844,44.54999923706055,44.5,44.54999923706055,901,0.0,0
2019-02-28,44.71500015258789,44.79499816894531,44.70500183105469,44.70500183105469,4960,0.0,0
2019-02-28,44.86000061035156,44.904998779296875,44.86000061035156,44.904998779296875,1545,0.0,0
2019-02-28,44.66999816894531,44.724998474121094,44.66999816894531,44.685001373291016,2875,0.0,0
2019-02-28,44.88999938964844,44.88999938964844,44.849998474121094,44.849998474121094,3827,0.0,0
2019-02-28,44.959999084472656,45.255001068115234,44.959999084472656,45.19499969482422,3010,0.0,0
2019-02-28,45.220001220703125,45.220001220703125,45.1349983215332,45.1349983215332,425,0.0,0
2019-02-28,45.20000076293945,45.20000076293945,45.20000076293945,45.20000076293945,222,0.0,0
