id,name,isin,symbol,from,to
65113,Casino Guichard,FR0000125585,CO,1971-01-06/P1D,2021-01-06T16:25:15.3904689+01:00
866185,Cast,FR0000072894,CAS,1971-01-06/P1D,2021-01-06T16:25:18.6757654+01:00
867303,Catana Group,FR0010193052,CATG,1971-01-06/P1D,2021-01-06T16:25:38.4377843+01:00
866130,Catering International Services,FR0000064446,CTRG,1971-01-06/P1D,2021-01-06T16:25:41.3422735+01:00
867304,Cbo Territoria,FR0010193979,CBOT,1971-01-06/P1D,2021-01-06T16:25:44.3436347+01:00
1089230,Cegedim,FR0000053506,CGM,1971-01-06/P1D,2021-01-06T16:25:50.7024084+01:00
10978081,CGG S.A.,FR0013181864,CGG,1971-01-06/P1D,2021-01-06T16:25:53.8207908+01:00
866282,Chargeurs,FR0000130692,CRI,1971-01-06/P1D,2021-01-06T16:25:56.775151+01:00
866033,Cibox Interactive,FR0000054322,CIB,1971-01-06/P1D,2021-01-06T16:25:59.6774343+01:00
255874,CNP Assurances,FR0000120222,CNP,1971-01-06/P1D,2021-01-06T16:26:14.1692181+01:00
5129552,Coface,FR0010667147,COFA,1971-01-06/P1D,2021-01-06T16:26:20.4637096+01:00
867115,Coheris,FR0004031763,COH,1971-01-06/P1D,2021-01-06T16:26:25.1497284+01:00
255464,Compagnie des Alpes,FR0000053324,CDA,1971-01-06/P1D,2021-01-06T16:26:28.4228525+01:00
64779,COVIVIO,FR0000064578,COV,1971-01-06/P1D,2021-01-06T16:26:31.7934536+01:00
64515,Crédit Agricole,FR0000045072,ACA,1971-01-06/P1D,2021-01-06T16:26:35.0317686+01:00
867248,CS Communication & Systèmes,FR0007317813,SX,1971-01-06/P1D,2021-01-06T16:26:38.1390642+01:00
1743578,Dalet,FR0011026749,DLT,1971-01-06/P1D,2021-01-06T16:26:40.8481329+01:00
65041,Danone,FR0000120644,BN,1971-01-06/P1D,2021-01-06T16:26:50.984048+01:00
255924,Dassault Aviation,FR0000121725,AM,1971-01-06/P1D,2021-01-06T16:26:54.690411+01:00
255974,Dassault Systèmes,FR0000130650,DSY,1971-01-06/P1D,2021-01-06T16:27:01.197043+01:00
1748359,DBV Technologies,FR0010417345,DBV,1971-01-06/P1D,2021-01-06T16:27:04.5443569+01:00
13908423,DELTA PLUS GROUP S.A.,FR0013283108,DLTA,1971-01-06/P1D,2021-01-06T16:27:08.2997212+01:00
255466,Derichebourg,FR0000053381,DBG,1971-01-06/P1D,2021-01-06T16:27:11.1035469+01:00
255750,Devoteam,FR0000073793,DVT,1971-01-06/P1D,2021-01-06T16:27:14.4628707+01:00
11006265,Diagnostic Medical,FR0012202497,DGM,1971-01-06/P1D,2021-01-06T16:27:17.6941826+01:00
867626,DNXcorp,FR0010436584,DNX,1971-01-06/P1D,2021-01-06T16:27:34.1986436+01:00
842268,Edenred,FR0010908533,EDEN,1971-01-06/P1D,2021-01-06T16:27:37.0389173+01:00
72906,EDF - Electricité de France Prime de Fidelite 2019,FR0010242511,EDF,1971-01-06/P1D,2021-01-06T16:27:39.9046701+01:00
866178,Egide,FR0000072373,GID,1971-01-06/P1D,2021-01-06T16:27:42.9259609+01:00
255969,Eiffage,FR0000130452,FGR,1971-01-06/P1D,2021-01-06T16:27:45.9262506+01:00
1994136,Ekinops,FR0011466069,EKI,1971-01-06/P1D,2021-01-06T16:27:48.7115164+01:00
5104846,Elior Group,FR0011950732,ELIOR,1971-01-06/P1D,2021-01-06T16:27:51.4837823+01:00
5577144,Elis,FR0012435121,ELIS,1971-01-06/P1D,2021-01-06T16:27:54.4690722+01:00
71981,Engie,FR0010208488,ENGI,1971-01-06/P1D,2021-01-06T16:27:57.2653501+01:00
